date,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
2011-08-01T00:00:00,1040.53,836.07,867.68,805.12,779.72,870.06,765.45,882.98,695.93,794.00,883.31
2011-09-01T00:00:00,1026.41,840.23,869.71,804.25,789.36,884.34,755.59,883.85,722.29,804.71,897.27
2011-10-01T00:00:00,1051.14,847.66,882.05,804.87,795.26,899.15,760.34,900.32,718.82,811.75,891.84
2011-11-01T00:00:00,1049.67,847.63,880.44,801.77,799.89,891.23,773.94,893.90,738.85,813.94,894.83
2011-12-01T00:00:00,1036.98,854.80,883.91,804.59,794.52,899.71,780.79,900.49,734.86,818.70,891.22
2012-01-01T00:00:00,1052.79,858.34,883.36,815.75,793.02,905.48,771.54,900.85,726.08,800.62,909.00
2012-02-01T00:00:00,1067.39,861.64,887.67,805.09,801.20,912.50,769.19,901.14,733.40,809.70,906.18
2012-03-01T00:00:00,1058.46,862.37,890.00,821.13,807.70,920.15,777.65,900.75,756.80,818.84,911.63
2012-04-01T00:00:00,1060.70,861.49,888.88,813.30,806.78,927.87,776.37,903.08,735.01,812.53,902.61
2012-05-01T00:00:00,1040.93,851.32,887.88,809.88,806.65,916.01,789.90,899.30,756.25,831.37,896.36
2012-06-01T00:00:00,1063.52,870.97,894.78,827.63,810.46,920.49,792.77,912.51,753.98,810.39,914.58
2012-07-01T00:00:00,1074.05,868.29,896.94,823.78,805.55,934.76,790.05,908.46,724.34,820.59,926.99
2012-08-01T00:00:00,1080.71,859.92,899.43,833.05,808.42,940.65,792.79,903.50,720.63,836.06,932.18
2012-09-01T00:00:00,1081.71,864.42,898.60,833.79,805.12,937.27,793.77,904.57,728.82,829.48,927.79
2012-10-01T00:00:00,1096.41,871.42,903.29,830.94,813.12,935.94,789.91,908.84,726.81,830.44,931.35
2012-11-01T00:00:00,1080.35,872.63,903.67,824.67,810.50,932.00,804.97,910.42,750.13,837.72,923.00
2012-12-01T00:00:00,1088.62,880.23,908.37,835.86,810.92,933.54,807.32,917.85,753.02,832.68,933.32
2013-01-01T00:00:00,1069.35,861.75,898.44,821.84,801.75,934.45,783.89,913.98,738.67,823.66,923.96
2013-02-01T00:00:00,1113.51,881.20,911.76,815.61,800.38,952.15,786.92,922.47,744.10,826.54,952.18
2013-03-01T00:00:00,1105.64,871.75,905.22,828.59,793.96,945.22,785.75,919.57,761.85,810.72,953.97
2013-04-01T00:00:00,1103.68,873.50,905.41,821.34,799.96,946.36,786.58,914.38,756.39,824.85,936.01
2013-05-01T00:00:00,1098.46,876.40,910.56,814.72,808.09,940.26,800.56,918.32,769.83,841.69,934.64
2013-06-01T00:00:00,1097.71,867.77,911.94,829.29,809.50,940.35,803.66,923.97,755.63,838.91,948.34
2013-07-01T00:00:00,1099.53,864.68,906.82,823.32,799.99,948.79,808.55,913.87,738.70,833.95,946.31
2013-08-01T00:00:00,1093.14,863.94,907.30,824.74,801.43,951.96,802.88,918.64,736.48,832.60,942.20
2013-09-01T00:00:00,1114.87,869.32,907.86,821.79,789.91,955.14,795.15,912.23,746.35,832.54,941.82
2013-10-01T00:00:00,1118.79,867.56,916.45,822.38,805.09,966.96,797.84,921.12,751.10,851.45,943.92
2013-11-01T00:00:00,1137.21,895.89,922.36,842.09,824.87,973.45,806.92,929.25,757.00,827.17,958.33
2013-12-01T00:00:00,1143.70,898.29,930.28,864.26,819.70,972.75,808.43,933.53,777.15,844.09,964.53
2014-01-01T00:00:00,1115.88,884.83,920.18,841.64,807.50,958.16,801.59,932.48,770.86,834.47,941.24
2014-02-01T00:00:00,1147.69,898.03,933.15,851.82,823.19,978.49,813.83,942.00,770.26,838.35,970.05
2014-03-01T00:00:00,1155.43,898.10,930.78,855.63,812.96,983.21,809.56,934.52,774.89,836.34,967.05
